iter	Passed	Remaining
966	10881	371
967	10892	360
968	10901	348
969	10912	337
970	10923	326
971	10932	314
972	10943	303
973	10951	292
974	10963	281
975	10976	269
976	10985	258
977	10995	247
978	11008	236
979	11022	224
980	11031	213
981	11042	202
982	11053	191
983	11062	179
984	11075	168
985	11085	157
986	11094	146
987	11105	134
988	11116	123
989	11124	112
990	11135	101
991	11143	89
992	11155	78
993	11164	67
994	11173	56
995	11183	44
996	11192	33
997	11202	22
998	11212	11
999	11222	0
